"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2024-11-01 00:08:05+08:00",125.7022,6.0872,27.04,29.55,27.04,27.04,1011.0,77.0,1011.0,992.0,1.31,336.0,1.43,2.0,"2024-11-01 05:23:34+08:00","2024-11-01 17:17:51+08:00",800.0,"Clear","clear sky","01n","2024-11-01 00:08:05.709017+08:00","Lamitan","","",""
10000.0,"2024-11-01 00:08:08+08:00",120.5936,18.1989,26.31,26.31,26.31,26.31,1008.0,86.0,1008.0,1003.0,4.59,174.0,6.31,100.0,"2024-11-01 05:56:58+08:00","2024-11-01 17:25:19+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:08:08.234202+08:00","Laoag","","",""
10000.0,"2024-11-01 00:08:09+08:00",123.9494,10.3103,28.02,32.62,28.02,28.02,1011.0,83.0,1011.0,1000.0,2.57,250.0,"",40.0,"2024-11-01 05:34:59+08:00","2024-11-01 17:20:27+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:08:09.739077+08:00","Lapu-Lapu City",1.0,8187.0,""
10000.0,"2024-11-01 00:08:11+08:00",120.9828,14.4506,26.96,31.15,26.62,27.25,1009.0,95.0,1009.0,1005.0,1.03,0.0,"",40.0,"2024-11-01 05:51:17+08:00","2024-11-01 17:27:54+08:00",802.0,"Clouds","scattered clouds","03n","2024-11-01 00:08:11.113970+08:00","Las Piñas",2.0,2005706.0,""
10000.0,"2024-11-01 00:08:12+08:00",123.7333,13.1333,24.68,25.68,24.68,24.68,1011.0,95.0,1011.0,993.0,1.32,226.0,2.35,100.0,"2024-11-01 05:38:51+08:00","2024-11-01 17:18:19+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:08:13.026062+08:00","Legazpi City","","",""
10000.0,"2024-11-01 00:08:14+08:00",123.5325,13.2403,24.41,25.44,24.41,24.41,1011.0,97.0,1011.0,992.0,1.31,112.0,1.96,100.0,"2024-11-01 05:39:46+08:00","2024-11-01 17:19:00+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:08:14.849072+08:00","Ligao","","",""
10000.0,"2024-11-01 00:08:17+08:00",121.1667,13.95,21.95,22.79,21.95,21.95,1010.0,99.0,1010.0,984.0,0.3,168.0,0.42,100.0,"2024-11-01 05:50:00+08:00","2024-11-01 17:27:42+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:08:17.208306+08:00","Lipa City","","",""
10000.0,"2024-11-01 00:08:18+08:00",122.5967,10.8794,25.09,25.93,25.09,25.09,1010.0,87.0,1010.0,1008.0,2.56,227.0,4.43,100.0,"2024-11-01 05:41:00+08:00","2024-11-01 17:25:16+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:08:18.851214+08:00","Lucena","","",""
10000.0,"2024-11-01 00:08:20+08:00",122.4347,10.8925,23.94,24.74,23.94,23.94,1011.0,90.0,1011.0,984.0,1.96,248.0,2.95,100.0,"2024-11-01 05:41:39+08:00","2024-11-01 17:25:54+08:00",804.0,"Clouds","overcast clouds","04n","2024-11-01 00:08:20.936563+08:00","Maasin","","",""
8000.0,"2024-11-01 00:08:23+08:00",120.5736,15.2216,25.21,26.24,25.21,25.21,1009.0,94.0,1009.0,991.0,2.06,180.0,"",75.0,"2024-11-01 05:53:45+08:00","2024-11-01 17:28:42+08:00",803.0,"Clouds","broken clouds","04n","2024-11-01 00:08:23.401706+08:00","Mabalacat City",1.0,8152.0,""
